alias_key,alias_display,code,iso_a3
vittoriosa,Vittoriosa,MLT003,MLT
cospicua,Cospicua,MLT006,MLT
senglea,Senglea,MLT020,MLT
silent city,Silent City,MLT029,MLT
rahal gdid,Rahal Gdid,MLT038,MLT
rabat,Rabat,MLT044,MLT
rabat gozo,Rabat Gozo,MLT045,MLT
saint julian's,Saint Julian's,MLT047,MLT
st julian's,St Julian's,MLT047,MLT
san giovanni,San Giovanni,MLT048,MLT
st lawrence,St Lawrence,MLT049,MLT
saint paul's bay,Saint Paul's Bay,MLT050,MLT
st paul's bay,St Paul's Bay,MLT050,MLT
santa lucia,Santa Lucia,MLT052,MLT
ta xbiex,Ta Xbiex,MLT057,MLT
irrawaddy,Irrawaddy,MMR001,MMR
pegu,Pegu,MMR002,MMR
karenni,Karenni,MMR005,MMR
karen,Karen,MMR006,MMR
magwe,Magwe,MMR007,MMR
nay pyi taw,Nay Pyi Taw,MMR010,MMR
naypyidaw union territory,Naypyidaw Union Territory,MMR010,MMR
arakan,Arakan,MMR011,MMR
tenasserim,Tenasserim,MMR014,MMR
rangoon,Rangoon,MMR015,MMR
rozaje,Rozaje,MNE017,MNE
ulaanbaatar city,Ulaanbaatar City,MNG011,MNG
ulan bator,Ulan Bator,MNG011,MNG
south gobi,South Gobi,MNG046,MNG
middle gobi,Middle Gobi,MNG048,MNG
south khangai,South Khangai,MNG062,MNG
uvurkhangai,Uvurkhangai,MNG062,MNG
north khangai,North Khangai,MNG065,MNG
hovsgol,Hovsgol,MNG067,MNG
bayan-olgi,Bayan-Olgi,MNG083,MNG
bayan-ulgii,Bayan-Ulgii,MNG083,MNG
ubsunur,Ubsunur,MNG085,MNG
uvs province,Uvs Province,MNG085,MNG
maputo city,Maputo City,MOZ002,MOZ
dakhlet nouadhibou,Dakhlet Nouadhibou,MRT004,MRT
hodh ech chargui,Hodh Ech Chargui,MRT007,MRT
hodh el chargui,Hodh el Chargui,MRT007,MRT
hodh el gharby,Hodh El Gharby,MRT008,MRT
tiris zemmour,Tiris Zemmour,MRT012,MRT
nouakchott north,Nouakchott North,MRT014,MRT
nouakchott west,Nouakchott West,MRT015,MRT
nouakchott south,Nouakchott South,MRT016,MRT
malacca,Malacca,MYS006,MYS
penang,Penang,MYS011,MYS
caprivi strip,Caprivi Strip,NAM001,NAM
zambezi region,Zambezi Region,NAM001,NAM
kavango east,Kavango East,NAM005,NAM
kavango west,Kavango West,NAM005,NAM
windhoek region,Windhoek Region,NAM006,NAM
niamey capital district,Niamey Capital District,NER008,NER
niamey urban community,Niamey Urban Community,NER008,NER
akwa ibom,Akwa Ibom,NGA003,NGA
abuja,Abuja,NGA015,NGA
nasarawa,Nasarawa,NGA026,NGA
north atlantic autonomous region,North Atlantic Autonomous Region,NIC014,NIC
north caribbean coast autonomous region,North Caribbean Coast Autonomous Region,NIC014,NIC
raccn,RACCN,NIC014,NIC
raccs,RACCS,NIC015,NIC
south atlantic autonomous region,South Atlantic Autonomous Region,NIC015,NIC
south caribbean coast autonomous region,South Caribbean Coast Autonomous Region,NIC015,NIC
frisia,Frisia,NLD003,NLD
north brabant,North Brabant,NLD007,NLD
finmark,Finmark,NOR004,NOR
more og romsdal,More og Romsdal,NOR007,NOR
nord-trondelag,Nord-Trondelag,NOR008,NOR
ostfold,Ostfold,NOR010,NOR
sor-trondelag,Sor-Trondelag,NOR014,NOR
far-western province,Far-Western Province,NPL004,NPL
madesh,Madesh,NPL007,NPL
manawatu-whanganui,Manawatu-Whanganui,NZL08,NZL
ad dakhiliyah,Ad Dakhiliyah,OMN001,OMN
dakhiliyah,Dakhiliyah,OMN001,OMN
dakhliyah,Dakhliyah,OMN001,OMN
ash sharqiyah,Ash Sharqiyah,OMN002,OMN
east region,East Region,OMN002,OMN
sharqiyah,Sharqiyah,OMN002,OMN
al batinah,Al Batinah,OMN003,OMN
batinah,Batinah,OMN003,OMN
ad dhahirah,Ad Dhahirah,OMN004,OMN
dhufar,Dhufar,OMN006,OMN
zufar,Zufar,OMN006,OMN
musandam peninsula,Musandam Peninsula,OMN007,OMN
islamabad capital territory,Islamabad Capital Territory,PAK003,PAK
guna yala,Guna Yala,PAN008,PAN
san blas,San Blas,PAN008,PAN
ngobe bugle,Ngobe Bugle,PAN010,PAN
cuzco,Cuzco,PER008,PER
mother of god,Mother of God,PER017,PER
bicolandia,Bicolandia,PHL005,PHL
metro manila,Metro Manila,PHL013,PHL
simbu,Simbu,PNG003,PNG
port moresby,Port Moresby,PNG015,PNG
west sepik,West Sepik,PNG018,PNG
lower silesia,Lower Silesia,POL001,POL
kuyavian-pomeranian,Kuyavian-Pomeranian,POL002,POL
lodz,Lodz,POL003,POL
masovian,Masovian,POL007,POL
mazovia,Mazovia,POL007,POL
opole,Opole,POL008,POL
subcarpathian,Subcarpathian,POL009,POL
podlachia,Podlachia,POL010,POL
pomerania,Pomerania,POL011,POL
pomeranian,Pomeranian,POL011,POL
silesia,Silesia,POL012,POL
silesian,Silesian,POL012,POL
holy cross,Holy Cross,POL013,POL
masuria,Masuria,POL014,POL
warmian-masurian,Warmian-Masurian,POL014,POL
west pomerania,West Pomerania,POL016,POL
west pomeranian,West Pomeranian,POL016,POL
chagang province,Chagang Province,PRK001,PRK
north hamgyong,North Hamgyong,PRK002,PRK
north hamgyong province,North Hamgyong Province,PRK002,PRK
south hamgyong,South Hamgyong,PRK003,PRK
south hamgyong province,South Hamgyong Province,PRK003,PRK
north hwanghae,North Hwanghae,PRK004,PRK
north hwanghae province,North Hwanghae Province,PRK004,PRK
south hwanghae,South Hwanghae,PRK005,PRK
south hwanghae province,South Hwanghae Province,PRK005,PRK
kaesong city,Kaesong City,PRK006,PRK
kangwon province,Kangwon Province,PRK007,PRK
north p'yongan,North P'yongan,PRK008,PRK
north pyongan,North Pyongan,PRK008,PRK
north pyongan province,North Pyongan Province,PRK008,PRK
south p'yongan,South P'yongan,PRK009,PRK
south pyongan,South Pyongan,PRK009,PRK
south pyongan province,South Pyongan Province,PRK009,PRK
pyongyang,Pyongyang,PRK010,PRK
pyongyang city,Pyongyang City,PRK010,PRK
ryanggang province,Ryanggang Province,PRK011,PRK
yanggang province,Yanggang Province,PRK011,PRK
braganza,Braganza,PRT005,PRT
lisbon,Lisbon,PRT012,PRT
oporto,Oporto,PRT015,PRT
khan younis,Khan Younis,PSE009,PSE
khan yunes,Khan Yunes,PSE009,PSE
doha,Doha,QAT001,QAT
al khor,Al Khor,QAT004,QAT
al wakrah,Al Wakrah,QAT005,QAT
al rayyan,Al Rayyan,QAT006,QAT
al shamal,Al Shamal,QAT007,QAT
kronstadt,Kronstadt,ROU009,ROU
bucharest,Bucharest,ROU010,ROU
adygea,Adygea,RUS001,RUS
republic of adygea,Republic of Adygea,RUS001,RUS
agin-buryat autonomous okrug,Agin-Buryat Autonomous Okrug,RUS002,RUS
ust-orda buryat autonomous okrug,Ust-Orda Buryat Autonomous Okrug,RUS002,RUS
altai republic,Altai Republic,RUS003,RUS
republic of altai,Republic of Altai,RUS003,RUS
altai krai,Altai Krai,RUS004,RUS
amur oblast,Amur Oblast,RUS005,RUS
arkhangelsk oblast,Arkhangelsk Oblast,RUS006,RUS
astrakhan oblast,Astrakhan Oblast,RUS007,RUS
republic of bashkortostan,Republic of Bashkortostan,RUS008,RUS
belgorod oblast,Belgorod Oblast,RUS009,RUS
bryansk oblast,Bryansk Oblast,RUS010,RUS
buryatia,Buryatia,RUS011,RUS
republic of buryatia,Republic of Buryatia,RUS011,RUS
chechen republic,Chechen Republic,RUS012,RUS
republic of chechnya,Republic of Chechnya,RUS012,RUS
chelyabinsk oblast,Chelyabinsk Oblast,RUS013,RUS
chita oblast,Chita Oblast,RUS014,RUS
zabaykalsky krai,Zabaykalsky Krai,RUS014,RUS
chukotka,Chukotka,RUS015,RUS
chukotka autonomous okrug,Chukotka Autonomous Okrug,RUS015,RUS
chuvash republic,Chuvash Republic,RUS016,RUS
chuvashia,Chuvashia,RUS016,RUS
republic of dagestan,Republic of Dagestan,RUS017,RUS
evenk autonomous okrug,Evenk Autonomous Okrug,RUS018,RUS
evenkia,Evenkia,RUS018,RUS
ingushetia,Ingushetia,RUS019,RUS
republic of ingushetia,Republic of Ingushetia,RUS019,RUS
irkutsk oblast,Irkutsk Oblast,RUS020,RUS
kabardino-balkaria,Kabardino-Balkaria,RUS022,RUS
kalmykia,Kalmykia,RUS024,RUS
kamchatka,Kamchatka,RUS026,RUS
kamchatka oblast,Kamchatka Oblast,RUS026,RUS
karachay-cherkessia,Karachay-Cherkessia,RUS027,RUS
karachay-cherkessia republic,Karachay-Cherkessia Republic,RUS027,RUS
karelia,Karelia,RUS028,RUS
republic of karelia,Republic of Karelia,RUS028,RUS
khabarovsk krai,Khabarovsk Krai,RUS030,RUS
khakassia,Khakassia,RUS031,RUS
republic of khakassia,Republic of Khakassia,RUS031,RUS
khanty-mansiysk autonomous okrug,Khanty-Mansiysk Autonomous Okrug,RUS032,RUS
yugra,Yugra,RUS032,RUS
komi republic,Komi Republic,RUS034,RUS
komi-permyak okrug,Komi-Permyak Okrug,RUS035,RUS
koryak autonomous okrug,Koryak Autonomous Okrug,RUS036,RUS
koryak okrug,Koryak Okrug,RUS036,RUS
krasnodar krai,Krasnodar Krai,RUS038,RUS
krasnoyarsk krai,Krasnoyarsk Krai,RUS039,RUS
kursk,Kursk,RUS041,RUS
kursk oblast,Kursk Oblast,RUS041,RUS
leningrad oblast,Leningrad Oblast,RUS042,RUS
lipetsk oblast,Lipetsk Oblast,RUS043,RUS
magadan oblast,Magadan Oblast,RUS044,RUS
mari el republic,Mari El Republic,RUS045,RUS
republic of mari el,Republic of Mari El,RUS045,RUS
mordovia,Mordovia,RUS046,RUS
republic of mordovia,Republic of Mordovia,RUS046,RUS
moscow oblast,Moscow Oblast,RUS047,RUS
moscow region,Moscow Region,RUS047,RUS
moscow,Moscow,RUS048,RUS
murmansk oblast,Murmansk Oblast,RUS049,RUS
nenets,Nenets,RUS051,RUS
nenets autonomous okrug,Nenets Autonomous Okrug,RUS051,RUS
nizhni novgorod oblast,Nizhni Novgorod Oblast,RUS052,RUS
nizhny novgorod oblast,Nizhny Novgorod Oblast,RUS052,RUS
novgorod oblast,Novgorod Oblast,RUS053,RUS
novosibirsk oblast,Novosibirsk Oblast,RUS054,RUS
omsk oblast,Omsk Oblast,RUS055,RUS
orenburg oblast,Orenburg Oblast,RUS056,RUS
orel oblast,Orel Oblast,RUS057,RUS
oryol oblast,Oryol Oblast,RUS057,RUS
penza oblast,Penza Oblast,RUS058,RUS
perm krai,Perm Krai,RUS059,RUS
perm oblast,Perm Oblast,RUS059,RUS
maritime province,Maritime Province,RUS060,RUS
maritime territory,Maritime Territory,RUS060,RUS
primorsky krai,Primorsky Krai,RUS060,RUS
pskov oblast,Pskov Oblast,RUS061,RUS
rostov oblast,Rostov Oblast,RUS062,RUS
ryazan oblast,Ryazan Oblast,RUS063,RUS
sakha republic,Sakha Republic,RUS064,RUS
yakutia,Yakutia,RUS064,RUS
samara oblast,Samara Oblast,RUS066,RUS
saint petersburg,Saint Petersburg,RUS067,RUS
st. petersburg,St. Petersburg,RUS067,RUS
saratov oblast,Saratov Oblast,RUS068,RUS
north ossetia,North Ossetia,RUS069,RUS
north ossetia-alania,North Ossetia-Alania,RUS069,RUS
smolensk oblast,Smolensk Oblast,RUS070,RUS
stavropol krai,Stavropol Krai,RUS071,RUS
stavropol kray,Stavropol Kray,RUS071,RUS
sverdlovsk oblast,Sverdlovsk Oblast,RUS072,RUS
tambov oblast,Tambov Oblast,RUS073,RUS
republic of tatarstan,Republic of Tatarstan,RUS074,RUS
dolgano-nenets autonomous okrug,Dolgano-Nenets Autonomous Okrug,RUS075,RUS
taymyr autonomous okrug,Taymyr Autonomous Okrug,RUS075,RUS
tomsk oblast,Tomsk Oblast,RUS076,RUS
tula oblast,Tula Oblast,RUS077,RUS
tver oblast,Tver Oblast,RUS078,RUS
tyumen oblast,Tyumen Oblast,RUS079,RUS
tuva republic,Tuva Republic,RUS080,RUS
tyva republic,Tyva Republic,RUS080,RUS
udmurt republic,Udmurt Republic,RUS081,RUS
udmurtia,Udmurtia,RUS081,RUS
ulyanovsk oblast,Ulyanovsk Oblast,RUS082,RUS
vladimir oblast,Vladimir Oblast,RUS084,RUS
volgograd oblast,Volgograd Oblast,RUS085,RUS
vologda oblast,Vologda Oblast,RUS086,RUS
voronezh oblast,Voronezh Oblast,RUS087,RUS
yamalo-nenets,Yamalo-Nenets,RUS088,RUS
yamalo-nenets autonomous okrug,Yamalo-Nenets Autonomous Okrug,RUS088,RUS
yaroslavl oblast,Yaroslavl Oblast,RUS089,RUS
jewish autonomous oblast,Jewish Autonomous Oblast,RUS090,RUS
jewish autonomous region,Jewish Autonomous Region,RUS090,RUS
northern province,Northern Province,RWA003,RWA
southern province,Southern Province,RWA004,RWA
western province,Western Province,RWA005,RWA
aseer,Aseer,SAU001,SAU
northern border region,Northern Border Region,SAU003,SAU
northern borders,Northern Borders,SAU003,SAU
al qassim,Al Qassim,SAU006,SAU
qassim,Qassim,SAU006,SAU
riyadh,Riyadh,SAU007,SAU
hail,Hail,SAU009,SAU
jazan,Jazan,SAU010,SAU
makkah al-mukarramah,Makkah al-Mukarramah,SAU011,SAU
mecca,Mecca,SAU011,SAU
gezira,Gezira,SDN001,SDN
al qadarif,Al Qadarif,SDN003,SDN
north darfur,North Darfur,SDN008,SDN
north kordofan,North Kordofan,SDN009,SDN
south darfur,South Darfur,SDN012,SDN
south kordofan,South Kordofan,SDN013,SDN
west darfur,West Darfur,SDN014,SDN
saint-louis,Saint-Louis,SEN015,SEN
galguduud,Galguduud,SOM006,SOM
hiran,Hiran,SOM008,SOM
middle juba,Middle Juba,SOM009,SOM
jubaland,Jubaland,SOM010,SOM
lower juba,Lower Juba,SOM010,SOM
middle shabelle,Middle Shabelle,SOM014,SOM
middle shebelle,Middle Shebelle,SOM014,SOM
lower shabelle,Lower Shabelle,SOM015,SOM
lower shebelle,Lower Shebelle,SOM015,SOM
bor district,Bor District,SRB001,SRB
branicevo district,Branicevo District,SRB002,SRB
belgrade,Belgrade,SRB003,SRB
city of belgrade,City of Belgrade,SRB003,SRB
jablanica district,Jablanica District,SRB004,SRB
south backa,South Backa,SRB005,SRB
south banat,South Banat,SRB006,SRB
kolubara district,Kolubara District,SRB007,SRB
macva district,Macva District,SRB008,SRB
moravica district,Moravica District,SRB009,SRB
nisava district,Nisava District,SRB010,SRB
pcinja district,Pcinja District,SRB011,SRB
pirot district,Pirot District,SRB012,SRB
podunavlje district,Podunavlje District,SRB013,SRB
pomoravlje district,Pomoravlje District,SRB014,SRB
rasina district,Rasina District,SRB015,SRB
raska district,Raska District,SRB016,SRB
north backa,North Backa,SRB017,SRB
north banat,North Banat,SRB018,SRB
central banat,Central Banat,SRB019,SRB
srem district,Srem District,SRB020,SRB
syrmia,Syrmia,SRB020,SRB
sumadija,Sumadija,SRB021,SRB
sumadija district,Šumadija District,SRB021,SRB
toplica,Toplica,SRB022,SRB
toplica district,Toplica District,SRB022,SRB
zajecar,Zajecar,SRB023,SRB
zajecar district,Zajecar District,SRB023,SRB
west backa,West Backa,SRB024,SRB
west backa district,West Bačka District,SRB024,SRB
zlatibor,Zlatibor,SRB025,SRB
zlatibor district,Zlatibor District,SRB025,SRB
zilina region,Zilina Region,SVK008,SVK
upper carniola,Upper Carniola,SVN001,SVN
gorizia,Gorizia,SVN002,SVN
inner carniola-karst,Inner Carniola-Karst,SVN005,SVN
coastal-karst,Coastal-Karst,SVN006,SVN
drava,Drava,SVN008,SVN
mura,Mura,SVN009,SVN
savinja,Savinja,SVN010,SVN
lower sava,Lower Sava,SVN011,SVN
zasavje,Zasavje,SVN012,SVN
blekinge county,Blekinge County,SWE001,SWE
dalarna,Dalarna,SWE002,SWE
dalarna county,Dalarna County,SWE002,SWE
gavleborg county,Gavleborg County,SWE003,SWE
gavleborgs county,Gavleborgs County,SWE003,SWE
halland county,Halland County,SWE005,SWE
jamtland,Jamtland,SWE006,SWE
jamtland county,Jamtland County,SWE006,SWE
jonkoping county,Jonkoping County,SWE007,SWE
kalmar county,Kalmar County,SWE008,SWE
kronoberg county,Kronoberg County,SWE009,SWE
norrbotten,Norrbotten,SWE010,SWE
norrbotten county,Norrbotten County,SWE010,SWE
orebro county,Orebro County,SWE011,SWE
ostergotland,Ostergotland,SWE012,SWE
ostergotland county,Ostergotland County,SWE012,SWE
scania,Scania,SWE013,SWE
skane county,Skane County,SWE013,SWE
sodermanland,Sodermanland,SWE014,SWE
sodermanland county,Sodermanland County,SWE014,SWE
stockholm county,Stockholm County,SWE015,SWE
uppsala county,Uppsala County,SWE016,SWE
varmland,Varmland,SWE017,SWE
varmland county,Varmland County,SWE017,SWE
vasterbotten,Vasterbotten,SWE018,SWE
vasterbotten county,Vasterbotten County,SWE018,SWE
vasternorrland,Vasternorrland,SWE019,SWE
vasternorrland county,Vasternorrland County,SWE019,SWE
vastmanland,Vastmanland,SWE020,SWE
vastmanland county,Vastmanland County,SWE020,SWE
vastra gotaland,Vastra Gotaland,SWE021,SWE
vastra gotaland county,Vastra Gotaland County,SWE021,SWE
west gotaland county,West Gotaland County,SWE021,SWE
hasaka,Hasaka,SYR001,SYR
ar raqqa,Ar Raqqa,SYR003,SYR
raqqa,Raqqa,SYR003,SYR
suweida,Suweida,SYR004,SYR
sweida,Sweida,SYR004,SYR
damascus governorate,Damascus Governorate,SYR005,SYR
daraa,Daraa,SYR006,SYR
dera,Dera,SYR006,SYR
deir al-zour,Deir al-Zour,SYR007,SYR
deir ez-zor,Deir ez-Zor,SYR007,SYR
homs,Homs,SYR009,SYR
lattakia,Lattakia,SYR011,SYR
al quneitra,Al Quneitra,SYR012,SYR
golan,Golan,SYR012,SYR
damascus countryside,Damascus Countryside,SYR013,SYR
rural damascus,Rural Damascus,SYR013,SYR
tartous,Tartous,SYR014,SYR
east ennedi,East Ennedi,TCD005,TCD
west ennedi,West Ennedi,TCD006,TCD
western logone,Western Logone,TCD011,TCD
eastern logone,Eastern Logone,TCD012,TCD
east mayo-kebbi,East Mayo-Kebbi,TCD014,TCD
west mayo-kebbi,West Mayo-Kebbi,TCD015,TCD
middle chari,Middle Chari,TCD016,TCD
ouadai,Ouadai,TCD017,TCD
wadai,Wadai,TCD017,TCD
ndjamena,Ndjamena,TCD022,TCD
savannas region,Savannas Region,TGO005,TGO
bangkok metropolis,Bangkok Metropolis,THA003,THA
krung thep,Krung Thep,THA003,THA
kamphaeng phet,Kamphaeng Phet,THA014,THA
korat,Korat,THA028,THA
nakhon si tammarat,Nakhon Si Tammarat,THA030,THA
patani,Patani,THA037,THA
phang nga,Phang Nga,THA039,THA
phang-nga,Phang-nga,THA039,THA
ayutthaya,Ayutthaya,THA046,THA
phuket island,Phuket Island,THA048,THA
prachuap khiri khan,Prachuap Khiri Khan,THA049,THA
samut prakan,Samut Prakan,THA056,THA
samut songkhram,Samut Songkhram,THA058,THA
songkla,Songkla,THA063,THA
trat,Trat,THA069,THA
gbao,GBAO,TJK001,TJK
gorno-badakhshan,Gorno-Badakhshan,TJK001,TJK
gorno-badakhshan autonomous oblast,Gorno-Badakhshan Autonomous Oblast,TJK001,TJK
dushanbe city,Dushanbe City,TJK003,TJK
sogd province,Sogd Province,TJK005,TJK
balkanabat region,Balkanabat Region,TKM002,TKM
charjew,Charjew,TKM003,TKM
lebap,Lebap,TKM003,TKM
dashhowuz,Dashhowuz,TKM005,TKM
dashoguz,Dashoguz,TKM005,TKM
oe-cusse ambeno,Oe-Cusse Ambeno,TLS012,TLS
oecusse,Oecusse,TLS012,TLS
oecussi-ambeno,Oecussi-Ambeno,TLS012,TLS
medenine,Medenine,TUN013,TUN
tunis governorate,Tunis Governorate,TUN022,TUN
zaghouan governorate,Zaghouan Governorate,TUN023,TUN
ariana governorate,Ariana Governorate,TUN024,TUN
manouba governorate,Manouba Governorate,TUN025,TUN
afyonkarahisar,Afyonkarahisar,TUR003,TUR
antioch,Antioch,TUR036,TUR
mersin,Mersin,TUR037,TUR
smyrna,Smyrna,TUR041,TUR
kahramanmaras,Kahramanmaras,TUR042,TUR
caesarea,Caesarea,TUR047,TUR
izmit,Izmit,TUR052,TUR
iconium,Iconium,TUR053,TUR
cappadocia,Cappadocia,TUR060,TUR
urfa,Urfa,TUR067,TUR
trebizond,Trebizond,TUR074,TUR
lake van province,Lake Van Province,TUR077,TUR
dar es salaam,Dar es Salaam,TZA002,TZA
north pemba,North Pemba,TZA007,TZA
north unguja,North Unguja,TZA008,TZA
north zanzibar,North Zanzibar,TZA008,TZA
south pemba,South Pemba,TZA012,TZA
south unguja,South Unguja,TZA013,TZA
south zanzibar,South Zanzibar,TZA013,TZA
urban west,Urban West,TZA018,TZA
zanzibar city,Zanzibar City,TZA018,TZA
coast region,Coast Region,TZA023,TZA
rovuma,Rovuma,TZA025,TZA
gulu district,Gulu District,UGA030,UGA
hoima district,Hoima District,UGA031,UGA
jinja district,Jinja District,UGA035,UGA
kabale district,Kabale District,UGA037,UGA
cherkasy,Cherkasy,UKR001,UKR
cherkasy oblast,Cherkasy Oblast,UKR001,UKR
chernihiv,Chernihiv,UKR002,UKR
chernihiv oblast,Chernihiv Oblast,UKR002,UKR
chernivtsi,Chernivtsi,UKR003,UKR
chernivtsi oblast,Chernivtsi Oblast,UKR003,UKR
autonomous republic of crimea,Autonomous Republic of Crimea,UKR004,UKR
dnipro oblast,Dnipro Oblast,UKR005,UKR
dnipropetrovsk,Dnipropetrovsk,UKR005,UKR
dnipropetrovsk oblast,Dnipropetrovsk Oblast,UKR005,UKR
donetsk,Donetsk,UKR006,UKR
donetsk oblast,Donetsk Oblast,UKR006,UKR
ivano-frankivsk,Ivano-Frankivsk,UKR007,UKR
ivano-frankivsk oblast,Ivano-Frankivsk Oblast,UKR007,UKR
kharkiv,Kharkiv,UKR008,UKR
kharkiv oblast,Kharkiv Oblast,UKR008,UKR
kherson,Kherson,UKR009,UKR
kherson oblast,Kherson Oblast,UKR009,UKR
khmelnitsky oblast,Khmelnitsky Oblast,UKR010,UKR
khmelnytskyi,Khmelnytskyi,UKR010,UKR
khmelnytskyi oblast,Khmelnytskyi Oblast,UKR010,UKR
kirovohrad oblast,Kirovohrad Oblast,UKR011,UKR
kropyvnytskyi oblast,Kropyvnytskyi Oblast,UKR011,UKR
kiev oblast,Kiev Oblast,UKR012,UKR
kyiv oblast,Kyiv Oblast,UKR012,UKR
lviv,Lviv,UKR013,UKR
lviv oblast,Lviv Oblast,UKR013,UKR
lugansk oblast,Lugansk Oblast,UKR014,UKR
luhansk,Luhansk,UKR014,UKR
luhansk oblast,Luhansk Oblast,UKR014,UKR
mykolaiv,Mykolaiv,UKR015,UKR
mykolaiv oblast,Mykolaiv Oblast,UKR015,UKR
nikolaev oblast,Nikolaev Oblast,UKR015,UKR
odesa oblast,Odesa Oblast,UKR016,UKR
odessa,Odessa,UKR016,UKR
odessa oblast,Odessa Oblast,UKR016,UKR
poltava,Poltava,UKR017,UKR
poltava oblast,Poltava Oblast,UKR017,UKR
rivne,Rivne,UKR018,UKR
rivne oblast,Rivne Oblast,UKR018,UKR
rovno oblast,Rovno Oblast,UKR018,UKR
sumy,Sumy,UKR019,UKR
sumy oblast,Sumy Oblast,UKR019,UKR
ternopil oblast,Ternopil Oblast,UKR020,UKR
vinnytsia,Vinnytsia,UKR021,UKR
vinnytsia oblast,Vinnytsia Oblast,UKR021,UKR
volhynia,Volhynia,UKR022,UKR
volhynia oblast,Volhynia Oblast,UKR022,UKR
volyn oblast,Volyn Oblast,UKR022,UKR
transcarpathia,Transcarpathia,UKR023,UKR
zakarpattia,Zakarpattia,UKR023,UKR
zakarpattia oblast,Zakarpattia Oblast,UKR023,UKR
zaporizhia oblast,Zaporizhia Oblast,UKR024,UKR
zaporizhzhia,Zaporizhzhia,UKR024,UKR
zaporizhzhia oblast,Zaporizhzhia Oblast,UKR024,UKR
zhytomyr,Zhytomyr,UKR025,UKR
zhytomyr oblast,Zhytomyr Oblast,UKR025,UKR
andizhan,Andizhan,UZB001,UZB
buxoro,Buxoro,UZB002,UZB
farghona,Farghona,UZB003,UZB
qoraqalpogiston,Qoraqalpogiston,UZB005,UZB
republic of karakalpakstan,Republic of Karakalpakstan,UZB005,UZB
qashqadaryo,Qashqadaryo,UZB006,UZB
khwarazm,Khwarazm,UZB007,UZB
xorazm,Xorazm,UZB007,UZB
navoi,Navoi,UZB009,UZB
samarqand,Samarqand,UZB010,UZB
syr darya,Syr Darya,UZB011,UZB
syrdarya,Syrdarya,UZB011,UZB
surxondaryo,Surxondaryo,UZB012,UZB
capital district,Capital District,VEN011,VEN
can tho city,Can Tho City,VNM013,VNM
da nang city,Da Nang City,VNM015,VNM
danang,Danang,VNM015,VNM
dak lac,Dak Lac,VNM016,VNM
dak lak,Dak Lak,VNM016,VNM
dak nong,Dak Nong,VNM017,VNM
hai phong,Hai Phong,VNM026,VNM
ha noi,Ha Noi,VNM027,VNM
ho chi minh city,Ho Chi Minh City,VNM029,VNM
saigon,Saigon,VNM029,VNM
lao kay,Lao Kay,VNM038,VNM
thua thien hue,Thua Thien Hue,VNM057,VNM
urosevac,Urosevac,XKX001,XKX
dakovica,Đakovica,XKX002,XKX
djakovica,Djakovica,XKX002,XKX
gnjilane,Gnjilane,XKX003,XKX
kosovska mitrovica,Kosovska Mitrovica,XKX004,XKX
mitrovica,Mitrovica,XKX004,XKX
pristina,Pristina,XKX006,XKX
aden,Aden,YEM001,YEM
al baida,Al Baida,YEM003,YEM
ad dali,Ad Dali,YEM004,YEM
hodeida,Hodeida,YEM005,YEM
hodeidah,Hodeidah,YEM005,YEM
al mahra,Al Mahra,YEM007,YEM
hadhramaut,Hadhramaut,YEM011,YEM
hadhramawt,Hadhramawt,YEM011,YEM
marib,Marib,YEM015,YEM
saada,Saada,YEM017,YEM
sadah,Sadah,YEM017,YEM
sanaa,Sanaa,YEM018,YEM
sanaa city,Sanaa City,YEM019,YEM
taiz,Taiz,YEM022,YEM
kwazulu-natal,KwaZulu-Natal,ZAF004,ZAF
